"Comment","User","ReplyCount","LikeCount","PublishTime","CommentId","ParentID","ReplyToAnotherUser","VideoID"
"https://youtu.be/4UMVLL3Xf98","Global News","0","0","2019-09-18T12:27:56.000Z","Ugz8QBm-1rmFdwar87F4AaABAg","None","FALSE","6sbPGzrXbts"
"bro ye bwo desh h jaha padhe likho ne gawaro ko chuna h khud pe raj krne ke liye or such mat bolo verna pakistani bolenge log aapko","Rockstar Manzar","0","0","2019-09-18T09:50:58.000Z","UgzK1CYhJ-Tgplrrbk54AaABAg","None","FALSE","6sbPGzrXbts"
"just misguiding people","V K Sharma","0","0","2019-09-18T07:47:13.000Z","UgzIx12wd6wcDZ1J_Q14AaABAg","None","FALSE","6sbPGzrXbts"
"Aur sun pakiistan or kashmir hua hindu attayachar pe hi bna le.
Per agar tune un per video bani to tu to fameos nahi hoga.","Mix Comedy","0","0","2019-09-18T07:16:50.000Z","Ugy1JEMW8hz0uEsFmOJ4AaABAg","None","FALSE","6sbPGzrXbts"
"Koi nahi tujhe koi or topic to milega nahi chal ab  POK per video bana .","Mix Comedy","0","0","2019-09-18T07:14:57.000Z","UgwmcS1zqz56FzmnadR4AaABAg","None","FALSE","6sbPGzrXbts"
"Ab lbral tumko problem kya hai be desh ke tarkki se .","Mix Comedy","0","0","2019-09-18T07:13:57.000Z","UgyWLH-8O4nDcLfyeZJ4AaABAg","None","FALSE","6sbPGzrXbts"
"Abe tujhe desh ke man samman se itni problem hai to  tu us desh main rah jaha tujhe koi dekat na ho .","Mix Comedy","0","0","2019-09-18T07:13:00.000Z","Ugw77zurS9wtmfkmPvJ4AaABAg","None","FALSE","6sbPGzrXbts"
"You are a liar!!","Saketh Desai","0","0","2019-09-18T06:40:35.000Z","Ugy00g1LYTgiIn0LJbV4AaABAg","None","FALSE","6sbPGzrXbts"
"Mujhe bas ye batado koi ki hamesha isro ka budget low kyu provide kiya jata hai,jis cheez me jitna paisa lage aur kuch discovery hojayegi waha pe budget ki baat aur yaha 3000 crore lagadiye aur chalo lagadiye to isro ka b budget badhao kyu unko pressure me rhakka jata hai","vinu vinu kaushik","0","0","2019-09-17T21:50:13.000Z","Ugz5xhcKxbd-LaV2Tzh4AaABAg","None","FALSE","6sbPGzrXbts"
"Sir you are the real Hero in this country. .who Aware all youth.","Prerna Kumari","0","0","2019-09-17T19:52:38.000Z","UgwR0uxM7l6IfOtFMvl4AaABAg","None","FALSE","6sbPGzrXbts"
"Stupids like u do not know cost of engineering","study academy","0","0","2019-09-17T19:13:23.000Z","UgyNjW0Ixsto42OqTpF4AaABAg","None","FALSE","6sbPGzrXbts"
"Its horrible to see that so much of money has been wasted. Its unfortunate that we have such a pathetic misuse of money in our country. That money could be used to feed the hungry or for poor people or for development. I wonder if that amount of money is available just to make statues, how much more is available and how people are misusing it we don't even know.","Annie Kuris","0","0","2019-09-17T18:06:02.000Z","UgzVp6vNpMmWEvPuOth4AaABAg","None","FALSE","6sbPGzrXbts"
"Just stop voting these old illiterate and dimwit politicians and we indians will become second to none","Rijo Samuel","0","0","2019-09-17T18:05:13.000Z","Ugy_9efnUn3YmQ9gdW14AaABAg","None","FALSE","6sbPGzrXbts"
"But Bro ticket prices are different...","KLVN Music","0","0","2019-09-17T17:44:37.000Z","UgzBQii-HgpxvREM9al4AaABAg","None","FALSE","6sbPGzrXbts"
"He is illiterate, and misguiding innocent people of India","Star Lord","0","0","2019-09-17T17:37:00.000Z","UgyNRuVuk5H37k6cf-t4AaABAg","None","FALSE","6sbPGzrXbts"
"Nice explanation bro.
How government waste our tax money.","prknt08","0","3","2019-09-17T17:06:36.000Z","Ugz6RSuJemZSGI0gE_B4AaABAg","None","FALSE","6sbPGzrXbts"
"If you find my comment then you have watched this video and gone to comment section<U+0001F914><U+0001F914>","POKEMON KA DADA","0","0","2019-09-17T16:58:01.000Z","UgxLmOjEuNGjwdpBeQ54AaABAg","None","FALSE","6sbPGzrXbts"
"Yah bhadwe ko social media per glt faymi faila rha hai ek din me 8500 log average dekh rhe hai USA ki statue of liberty 10000 average per day hai ...","Ashutosh Mishra","0","0","2019-09-17T16:39:19.000Z","UgyVmdToSS27Kx5GeO94AaABAg","None","FALSE","6sbPGzrXbts"
"https://youtu.be/eJd8NmghOog
<U+0932><U+0947> <U+092D><U+093E><U+0908> <U+0924><U+0947><U+0930><U+093E> <U+091C><U+092C><U+093E><U+092C> <U+0906> <U+0917><U+092F><U+093E>..<U+0001F60A>","Vikash Jangir","0","1","2019-09-17T12:18:13.000Z","UgxEU22KVAJ7pULqoGB4AaABAg","None","FALSE","6sbPGzrXbts"
"What is going on in our country... How should wo stop all this nonsense to happen.....","Ashwani Mishra","0","0","2019-09-17T12:11:11.000Z","UgwV247G3xe2jgd00oR4AaABAg","None","FALSE","6sbPGzrXbts"
"TAJ mahal is best in india","Faiz e Raza channel","0","0","2019-09-17T12:02:32.000Z","UgyWxLhvGxHkJ-3EnhB4AaABAg","None","FALSE","6sbPGzrXbts"
"Chor h sab","Ansari Jamal","0","0","2019-09-17T11:22:12.000Z","UgzXDbmOKgX2uq9vlDp4AaABAg","None","FALSE","6sbPGzrXbts"
"BAkwas h
Faltu h 
Iokal se mokal
Gatyan     se  gathan","Ansari Jamal","0","0","2019-09-17T11:20:51.000Z","UgxYkVSDNaUqiSyCt2t4AaABAg","None","FALSE","6sbPGzrXbts"
"You are wrong","Sujan Patel G L","0","0","2019-09-17T10:29:43.000Z","UgwFMkC7BxIe443h6g14AaABAg","None","FALSE","6sbPGzrXbts"
"its now a one of the tourist attractions place","harsh patel","0","0","2019-09-17T09:36:03.000Z","UgyHcmmr6cijJ6tQx054AaABAg","None","FALSE","6sbPGzrXbts"
"Government ko World's tallest building banaani chahiye thi India mein
Kisi metro city mein

Woh tourist attractions Banta

Example = burj Khalifa","Songistaan","0","0","2019-09-17T08:26:22.000Z","Ugw0aQ2n3BCLRacpgcR4AaABAg","None","FALSE","6sbPGzrXbts"
"U r against of modi n sadar patel","urjit vishal1716","2","1","2019-09-17T08:21:13.000Z","UgwqpIdMy_yrOV3hSY14AaABAg","None","FALSE","6sbPGzrXbts"
"Aapke vedios Dekhne ke baad mn krta hai ki Ek Short Point notes bnau..Aur wo Jitne bhi Gwar modi bhkts hai Aur jb wo argue krte hai unko jwab du..ftt jaayegi unki","Ashish Ganguly","0","0","2019-09-17T05:47:38.000Z","UgzqqIECFwx6MoD1kQx4AaABAg","None","FALSE","6sbPGzrXbts"
